region,year,tourism_nights
DEC0,2021.0,709491.0
DED2,2021.0,3435421.0
DED4,2021.0,1566366.0
DED5,2021.0,1939559.0
DEE0,2021.0,3257361.0
DEF0,2021.0,7638733.0
DEG0,2021.0,3685162.0
DK01,2021.0,3771263.0
DK02,2021.0,597139.0
DK03,2021.0,2162910.0
DK04,2021.0,1545015.0
DK05,2021.0,957684.0
EA19,2021.0,561580752.0
EE00,2021.0,1923169.0
EL30,2021.0,1608025.0
EL41,2021.0,327640.0
EL42,2021.0,1206721.0
EL43,2021.0,799484.0
EL51,2021.0,523553.0
EL52,2021.0,1574495.0
EL53,2021.0,145642.0
EL54,2021.0,526341.0
EL61,2021.0,867520.0
EL62,2021.0,589732.0
EL63,2021.0,582461.0
EL64,2021.0,675568.0
EL65,2021.0,1346893.0
ES11,2021.0,5627399.0
ES12,2021.0,2522439.0
ES13,2021.0,1776342.0
ES21,2021.0,2913057.0
ES22,2021.0,1101697.0
ES23,2021.0,532633.0
ES24,2021.0,3193996.0
ES30,2021.0,7796138.0
ES41,2021.0,4663325.0
ES42,2021.0,2330439.0
ES43,2021.0,1525767.0
ES51,2021.0,12922137.0
ES52,2021.0,10914239.0
ES53,2021.0,3938683.0
ES61,2021.0,20393500.0
ES62,2021.0,1527154.0
ES63,2021.0,89844.0
ES64,2021.0,76463.0
ES70,2021.0,6854665.0
FI19,2021.0,2751377.0
FI1B,2021.0,2431336.0
FI1C,2021.0,1997537.0
FI1D,2021.0,4254794.0
FI20,2021.0,140169.0
FR10,2021.0,25362899.0
FRB0,2021.0,3618102.0
FRC1,2021.0,2684442.0
FRC2,2021.0,1117994.0
FRD1,2021.0,2946496.0
FRD2,2021.0,1743765.0
FRE1,2021.0,3411298.0
FRE2,2021.0,1559456.0
FRF1,2021.0,3300012.0
FRF2,2021.0,1548832.0
FRF3,2021.0,2155453.0
FRG0,2021.0,4753089.0
FRH0,2021.0,5127515.0
FRI1,2021.0,6172172.0
FRI2,2021.0,854850.0
FRI3,2021.0,3313611.0
FRJ1,2021.0,5191680.0
FRJ2,2021.0,4349842.0
FRK1,2021.0,2372720.0
FRK2,2021.0,11458908.0
FRL0,2021.0,12773070.0
FRM0,2021.0,2148287.0
FRY1,2021.0,610899.0
FRY2,2021.0,641566.0
FRY3,2021.0,221068.0
FRY4,2021.0,948501.0
FRY5,2021.0,62614.0
HR02,2021.0,151697.0
HR03,2021.0,2175185.0
HR05,2021.0,189836.0
HR06,2021.0,283497.0
HU11,2021.0,756015.0
HU12,2021.0,490622.0
HU21,2021.0,1168443.0
HU22,2021.0,2084622.0
HU23,2021.0,1185749.0
HU31,2021.0,1216238.0
HU32,2021.0,978161.0
HU33,2021.0,820660.0
IE04,2021.0,1231000.0
IE05,2021.0,2413000.0
IE06,2021.0,1086000.0
IS00,2021.0,1097410.0
ITC1,2021.0,3475510.0
ITC2,2021.0,990142.0
ITC3,2021.0,4738358.0
ITC4,2021.0,8975143.0
ITF1,2021.0,3015888.0
ITF2,2021.0,241431.0
ITF3,2021.0,6264845.0
ITF4,2021.0,6363116.0
ITF5,2021.0,1188013.0
ITF6,2021.0,4285845.0
ITG1,2021.0,5174801.0
ITG2,2021.0,4672801.0
ITH1,2021.0,6771351.0
ITH2,2021.0,5885413.0
ITH3,2021.0,10121694.0
ITH4,2021.0,1881687.0
ITH5,2021.0,19285716.0
ITI1,2021.0,8482218.0
ITI2,2021.0,1852660.0
ITI3,2021.0,3616160.0
ITI4,2021.0,5713980.0
LI00,2021.0,4326.0
LT01,2021.0,481485.0
LT02,2021.0,1362853.0
LU00,2021.0,222089.0
LV00,2021.0,977639.0
